File Name,h,w,shift_height,shift_width,angle,issue
A-1,230,270,190,-220,-0.2,
A-3,250,445,-45,55,-0.3,
A-5,-60,205,-17,25,-0.25,
A-7,0,155,-6,-115,-0.25,
A-9,-130,-230,0,-80,-0.2,
A-11,-110,15,-120,-20,-0.2,
A-13,20,-30,-5,40,-0.2,
A-15,60,230,60,-30,-0.2,
A-17,-55,0,-60,-15,-0.3,
B-1,-490,-420,-250,400,-0.25,
B-3,150,160,310,-35,-0.25,
B-5,-580,-160,-410,0,-0.25,
B-7,-35,20,-115,55,-0.25,
B-9,30,-180,-100,90,-0.25,
B-11,20,87,10,-30,-0.235,
B-13,140,20,-20,-20,-0.25,
B-15,10,355,5,-255,-0.25,
B-17,130,600,-20,55,-0.25,
C-1,0,110,0,0,-0.3,
C-3,490,350,340,-160,-0.3,
C-5,90,25,85,-20,-0.2,
C-7,-130,-280,10,100,-0.25,
C-9,-140,-90,-70,90,-0.25,
C-11,-15,280,-17,0,-0.23,
C-13,0,240,0,-77,-0.25,
C-15,200,165,165,-3,-0.25,
C-17,-70,275,-42,0,-0.25,
D-1,50,75,47,-70,-0.25,
D-3,0,-160,-130,-65,-0.3,
D-5,140,-565,87,110,-0.25,
D-7,145,195,12,-185,-0.25,
D-9,130,-20,50,-10,-0.25,
D-11,-30,295,-30,-235,-0.25,
D-13,300,108,0,-170,-0.25,
D-15,5,-280,-20,45,-0.25,
D-17,-60,-250,-40,270,-0.25,
E-1,-1330,-350,-720,220,-0.3,
E-3,1160,440,980,-515,-0.25,
E-5,120,-15,240,0,-0.23,
E-7,-20,115,20,-50,-0.25,
E-9,-80,220,-70,-240,-0.2,
E-11,60,255,35,-250,-0.25,
E-13,-20,445,-200,-1890,-0.25,
E-15,1690,1805,340,-483,-0.25,* not good
E-17,0,210,-315,-150,-0.25,
F-3,620,650,-360,260,-0.25,* not good
F-5,-155,-47,245,0,-0.25,
F-7,-40,-20,-60,30,-0.25,
F-9,-20,5,0,-15,-0.25,
F-11,330,1510,0,78,-0.25,
F-13,585,450,580,-105,-0.25,
F-15,-20,5,5,-5,-0.25,
F-17,-5,180,5,0,-0.25,
G-1,1200,840,585,-510,-0.25,
G-3,-170,70,-215,-50,-0.25,
G-5,-40,370,-60,-100,-0.255,
G-7,50,320,0,-170,-0.25,
G-9,370,400,860,-400,-0.2,
G-11,-180,415,10,17,-0.25,
G-13,250,340,235,-175,-0.25,
G-15,40,-110,45,-15,-0.25,
G-17,20,285,20,-285,-0.25,
H-1,-80,-50,-180,60,-0.3,
H-3,685,-595,750,375,-0.25,
H-5,-590,-350,-400,235,-0.25,
H-7,70,10,8,-8,-0.3,
H-9,-180,255,0,-300,-0.25,
H-11,480,1800,505,0,-0.25,
H-13,-90,30,-100,-10,-0.25,
H-15,320,188,235,-30,-0.2,
I-1,370,65,-60,-100,-0.25,
I-3,-90,-190,-15,135,-0.25,
I-5,275,-5,90,5,-0.25,
I-7,0,-300,-110,300,-0.25,
I-9,105,112,80,-95,-0.22,
I-11,360,565,65,-120,-0.25,
I-13,-25,-20,-25,20,-0.25,
I-15,115,-5,0,-15,-0.25,
I-17,80,15,80,-5,-0.25,
J-1,-5,115,-10,-100,-0.25,
J-5,150,90,130,-70,-0.23,
J-7,110,-160,260,-115,-0.25,
J-11,320,-80,265,105,-0.25,
J-13,-10,-30,-10,0,-0.25,
J-15,225,155,240,-145,-0.25,
J-17,-57,340,55,-175,-0.25,
